%WER = 25.35
Errors: 101 insertions, 717 deletions, 781 substitutions, over 6307 reference words (4809 correct)
Search below for sections starting with PER-UTT DETAILS:, SUBSTITUTIONS:, DELETIONS:, INSERTIONS:, PER-WORD STATS:

PER-UTT DETAILS: corr or (ref->hyp)  
1682990149.6027413-split_v1-483200-674250_11617-11617:	(rồi vầng->dạ)
viên   1 1 1 2
vietjet   0 1 1 0
vietcombank   0 1 1 0
vib   0 1 1 0
vang   1 1 2 1
tức   3 1 3 4
tục   0 1 0 1
tụ   0 1 0 1
tờ   0 1 1 0
tớ   1 1 1 2
tế   8 1 9 8
tập   1 1 2 1
tầm   5 1 5 6
tưởng   1 1 2 1
tơ   0 1 0 1
tú   1 1 1 2
tòa   1 1 1 2
tình   0 1 0 1
tênh   0 1 0 1
tê   0 1 0 1
tân   1 1 2 1
tàu   0 1 1 0
tài   0 1 1 0
tuần   5 1 6 5
tuyên   0 1 1 0
trực   1 1 2 1
trừ   0 1 1 0
trời   0 1 0 1
trọng   1 1 2 1
trịnh   0 1 1 0
trẻ   0 1 1 0
trần   1 1 2 1
trả<unk   0 1 0 1
trơn   0 1 0 1
trú   0 1 0 1
trình   4 1 5 4
trì   1 1 2 1
trang   3 1 4 3
tra   6 1 6 7
toét   0 1 1 0
to   0 1 1 0
tin   6 1 6 7
thực   3 1 4 3
thủy   0 1 0 1
thọ   1 1 2 1
thịnh   0 1 1 0
thẳng   0 1 1 0
thắm   0 1 0 1
thầy   0 1 0 1
thất   0 1 1 0
thấm   0 1 1 0
thạch   2 1 3 2
thạ   0 1 0 1
thường   2 1 3 2
thương   0 1 0 1
thư   8 1 9 8
thí   0 1 1 0
tháng   7 1 8 7
thái   2 1 3 2
thu   6 1 6 7
thiếu   0 1 1 0
thi   0 1 1 0
thay   1 1 2 1
tay   1 1 2 1
tam   1 1 2 1
tai   0 1 0 1
sự   1 1 1 2
sử   4 1 5 4
sợ   2 1 2 3
sắc   0 1 1 0
sậy   0 1 1 0
sơn   2 1 2 3
sĩ   0 1 0 1
sót   0 1 1 0
sân   0 1 0 1
sp   0 1 0 1
sinh   2 1 3 2
shom   0 1 0 1
shock   0 1 0 1
ship   1 1 2 1
sh   0 1 0 1
sen   0 1 1 0
sam   0 1 1 0
rằng   0 1 0 1
rất   2 1 3 2
r   0 1 0 1
quầy   0 1 1 0
quản   0 1 0 1
quả   1 1 2 1
quê   1 1 1 2
quán   0 1 1 0
quang   3 1 3 4
pê   0 1 1 0
pin   0 1 1 0
phụng   0 1 1 0
phục   0 1 0 1
phố   3 1 3 4
phận   0 1 1 0
phảiác   0 1 0 1
phúc   0 1 0 1
phòng   3 1 4 3
phí   4 1 5 4
phân   0 1 0 1
pháting   0 1 0 1
phiếu   1 1 2 1
phan   1 1 2 1
oát   0 1 0 1
nửa   0 1 1 0
nổ   0 1 1 0
nọ   2 1 2 3
nặng   0 1 1 0
nơi   0 1 1 0
nông   0 1 0 1
nãy   1 1 1 2
ninh   0 1 1 0
những   0 1 1 0
nhỡ   0 1 1 0
nhỉ   1 1 2 1
nhể   0 1 1 0
nhắn   5 1 6 5
nhân   4 1 5 4
nhàn   0 1 1 0
nhuế   0 1 1 0
nhuyễu   0 1 0 1
nhuy   0 1 0 1
nhung   0 1 0 1
ngắn   0 1 1 0
ngân   4 1 5 4
nguyệt   0 1 1 0
nguyện   0 1 1 0
ngoại   0 1 0 1
ngoài   5 1 6 5
nghị   0 1 1 0
nghìn   9 1 9 10
nghiệp   0 1 0 1
ngay   2 1 3 2
mẹ   1 1 1 2
mắc   0 1 0 1
mẫu   0 1 0 1
mêu   0 1 0 1
mét   0 1 0 1
mén   0 1 1 0
mãi   0 1 1 0
mã   9 1 9 10
mày   0 1 1 0
muốn   0 1 0 1
miễn   0 1 0 1
mank   0 1 0 1
maild   0 1 0 1
ma   0 1 1 0
lộ   0 1 0 1
lỗi   1 1 1 2
lịch   0 1 1 0
lần   0 1 1 0
lạ   0 1 1 0
lượng   1 1 2 1
lương   1 1 2 1
lúc   5 1 5 6
lâm   1 1 2 1
láo   0 1 1 0
lái   0 1 0 1
luân   0 1 1 0
liệu   1 1 2 1
lao   0 1 1 0
lam   0 1 0 1
kể   1 1 2 1
kí   0 1 1 0
kìa   0 1 0 1
kêu   1 1 1 2
kém   1 1 2 1
kiệt   0 1 1 0
kim   1 1 2 1
khăn   0 1 0 1
khâu   0 1 1 0
khám   0 1 0 1
khác   3 1 4 3
khoảng   2 1 3 2
khoản   3 1 4 3
khanh   1 1 1 2
im   0 1 1 0
i   0 1 1 0
hợp   4 1 5 4
hội   0 1 1 0
hỗ   4 1 4 5
họp   0 1 1 0
hết   4 1 4 5
hẹn   1 1 2 1
hằng   0 1 0 1
hạ   0 1 0 1
hương   0 1 0 1
hưng   0 1 1 0
hơn   2 1 3 2
hơi   0 1 0 1
hùng   0 1 1 0
hình   0 1 0 1
huỷ   0 1 1 0
hoãn   0 1 0 1
hoành   0 1 0 1
hoài   3 1 3 4
hoa   2 1 3 2
hiệp   0 1 1 0
hiểm   12 1 13 12
hiền   2 1 3 2
gớm   0 1 1 0
gốc   2 1 2 3
gỉa   0 1 1 0
gần   1 1 1 2
gấp   0 1 1 0
gạo   0 1 1 0
giời   0 1 1 0
giỏ   0 1 0 1
giấy   3 1 4 3
giùm   1 1 1 2
giê   0 1 0 1
giáp   0 1 1 0
giày   0 1 1 0
giunk   0 1 0 1
giang   1 1 2 1
gia   1 1 2 1
ghép   0 1 0 1
e   1 1 2 1
dụng   4 1 5 4
dịch   0 1 0 1
dạo   0 1 0 1
dương   1 1 2 1
dùm   0 1 1 0
dù   0 1 1 0
dát   0 1 0 1
dám   0 1 0 1
dài   0 1 1 0
doi   0 1 0 1
dinh   0 1 0 1
cửa   1 1 2 1
cắm   0 1 0 1
cậu   0 1 1 0
cấu   0 1 0 1
cấp   1 1 1 2
cấn   0 1 1 0
cạnh   2 1 3 2
cũ   1 1 2 1
căn   0 1 1 0
cúc   0 1 0 1
công   3 1 3 4
cây   3 1 4 3
cách   2 1 2 3
cuộc   1 1 1 2
cs   0 1 1 0
coiforýp   0 1 0 1
code   0 1 1 0
chửi   1 1 2 1
chừng   0 1 0 1
chừ   0 1 1 0
chủ   4 1 5 4
chợ   0 1 0 1
chờ   0 1 1 0
chỉnh   0 1 0 1
chắt   0 1 0 1
chật   0 1 1 0
chương   3 1 4 3
chúng   2 1 3 2
chú   0 1 1 0
chuyện   0 1 1 0
chung   1 1 2 1
chu   0 1 1 0
che   0 1 0 1
bực   0 1 1 0
bởi   4 1 4 5
bộ   0 1 1 0
bỏ   0 1 0 1
bận   0 1 1 0
bản   2 1 3 2
bơm   0 1 1 0
bùi   1 1 2 1
bình   3 1 3 4
bênh   0 1 0 1
bán   1 1 2 1
bác   2 1 2 3
biển   0 1 0 1
bin   0 1 0 1
appe   0 1 0 1
app   0 1 1 0
ao   0 1 1 0
   0 1 1 0
ổn   2 0 2 2
đủ   1 0 1 1
đợt   1 0 1 1
động   1 0 1 1
đội   1 0 1 1
độ   1 0 1 1
đỗ   1 0 1 1
định   1 0 1 1
đều   1 0 1 1
đầu   2 0 2 2
đại   3 0 3 3
đăng   1 0 1 1
đông   3 0 3 3
đô   1 0 1 1
đính   1 0 1 1
đình   1 0 1 1
đàm   1 0 1 1
đài   1 0 1 1
đoàn   1 0 1 1
điều   2 0 2 2
đem   1 0 1 1
ít   1 0 1 1
yên   5 0 5 5
xóm   1 0 1 1
vụ   1 0 1 1
vắng   1 0 1 1
vấn   2 0 2 2
vướng   2 0 2 2
ví   2 0 2 2
vân   1 0 1 1
vpbank   1 0 1 1
việt   1 0 1 1
viện   1 0 1 1
tự   3 0 3 3
tổ   1 0 1 1
tối   3 0 3 3
tắt   1 0 1 1
tận   1 0 1 1
tư   2 0 2 2
túi   1 0 1 1
tùy   1 0 1 1
tí   3 0 3 3
tìm   1 0 1 1
tây   1 0 1 1
tâm   5 0 5 5
tác   2 0 2 2
ty   2 0 2 2
tuấn   1 0 1 1
trước   7 0 7 7
trái   1 0 1 1
triệu   1 0 1 1
toán   5 0 5 5
toàn   3 0 3 3
tiếng   1 0 1 1
thứ   5 0 5 5
thời   1 0 1 1
thống   2 0 2 2
thượng   1 0 1 1
thùy   1 0 1 1
theo   2 0 2 2
sớm   1 0 1 1
sắt   1 0 1 1
sơ   4 0 4 4
sóc   1 0 1 1
sáng   11 0 11 11
sang   6 0 6 6
sai   1 0 1 1
rõ   1 0 1 1
quần   1 0 1 1
quất   1 0 1 1
quên   1 0 1 1
quyết   1 0 1 1
quy   1 0 1 1
quay   1 0 1 1
quan   2 0 2 2
phối   1 0 1 1
phản   1 0 1 1
phút   1 0 1 1
phiền   1 0 1 1
online   2 0 2 2
oanh   1 0 1 1
nữ   1 0 1 1
nờ   1 0 1 1
nằm   1 0 1 1
non   1 0 1 1
nhắc   1 0 1 1
nhật   5 0 5 5
nhiều   3 0 3 3
nhiêu   4 0 4 4
nhiên   2 0 2 2
nhanh   1 0 1 1
ngủ   1 0 1 1
ngọc   2 0 2 2
ngõ   3 0 3 3
ngô   1 0 1 1
ngách   1 0 1 1
nghĩ   1 0 1 1
mở   1 0 1 1
mỗi   1 0 1 1
mốt   3 0 3 3
mối   1 0 1 1
mặt   2 0 2 2
mầm   1 0 1 1
mê   1 0 1 1
mang   4 0 4 4
lời   1 0 1 1
lễ   2 0 2 2
lạc   1 0 1 1
lâu   3 0 3 3
loan   1 0 1 1
liên   8 0 8 8
lan   1 0 1 1
kèm   1 0 1 1
kiểu   1 0 1 1
kiểm   6 0 6 6
khảo   1 0 1 1
khó   1 0 1 1
khánh   1 0 1 1
khai   2 0 2 2
hồi   2 0 2 2
hồ   4 0 4 4
hệ   8 0 8 8
hạn   4 0 4 4
hóa   2 0 2 2
hân   1 0 1 1
hát   1 0 1 1
huế   1 0 1 1
huyền   1 0 1 1
huy   1 0 1 1
gặp   1 0 1 1
gắng   1 0 1 1
gắn   1 0 1 1
gói   1 0 1 1
gom   1 0 1 1
giữa   1 0 1 1
giảm   1 0 1 1
giải   2 0 2 2
gian   1 0 1 1
dụ   2 0 2 2
dính   1 0 1 1
dân   1 0 1 1
duyên   1 0 1 1
do   1 0 1 1
diễn   1 0 1 1
cổ   2 0 2 2
cập   3 0 3 3
cần   3 0 3 3
còng   1 0 1 1
cân   1 0 1 1
cáo   1 0 1 1
cá   2 0 2 2
chữ   1 0 1 1
chứng   3 0 3 3
chục   1 0 1 1
chở   1 0 1 1
chối   4 0 4 4
chăm   1 0 1 1
chút   3 0 3 3
chuyến   1 0 1 1
chiếu   1 0 1 1
cam   1 0 1 1
bố   1 0 1 1
bệnh   1 0 1 1
bắt   2 0 2 2
bóc   1 0 1 1
bàn   1 0 1 1
buộc   2 0 2 2
